form_id,название_формы_ru,категория,source_key,operation,value,полярность,время,стиль,залог,аспект_конструкция,регистр,train_default,пояснение,пример_食べる,flag_negative,flag_past,flag_future,flag_desire,flag_ability,flag_obligation,flag_invitation,flag_command,flag_prohibition,flag_conditional,flag_progressive,flag_passive,flag_causative,flag_causative_passive,flag_polite,flag_te_form,flag_volitional,flag_colloquial,flag_rare,task_flags_ru,task_flags_alt_ru,ru_prompt_strategy,ru_prompt_verb_slot,ru_prompt_template,ru_prompt_alt_template,requires_context,prompt_note_ru,chunk_template_easy,chunk_template_medium,chunk_template_hard,semantic_complexity_1_5,recommended_chunk_level,template_syntax_ru,distractor_strategy,example_iku_easy,example_iku_medium,example_iku_hard,semantic_intent,mode_b_semantic_key,grammar_id,canonical_grammar_id,grammar_label_ru,grammar_pattern,resolver_atomic_pattern,accepted_alternative_grammar_ids,alternative_requires_form_available,alternative_acceptance_note_ru,requires_explicit_grammar_hint,allow_multiple_correct_answers,mode_b_enabled
dictionary,Словарная форма,основные,словарная_форма,identity,,утвердительная,непрошедшее,простая,действительный,,стандартная,1,Утвердительная простая непрошедшая форма; используется как словарная.,食べる,0,0,optional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,буду,natural,ru_present_1sg,{ru_present_1sg},{ru_future_1sg},0,,BASE|DICT_M,BASE|DICT_M,BASE|DICT_H,1,easy,"| = новая карточка; + = объединить в одну карточку; ∅ = меняется чтение, но японский символ не добавляется",dynamic_stem_same_verb + universal_same_family,行|ku,行|ku,行|ku,plain_nonpast,plain_nonpast,dictionary,dictionary,Словарная форма,BASE + DICT_H,BASE|DICT_H,,0,,0,0,1
plain_past,Простая прошедшая утвердительная (た-форма),основные,простая_прошедшая,identity,,утвердительная,прошедшее,простая,действительный,,стандартная,1,,食べた,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,прошлое,,natural,ru_past_pf_mf,{ru_past_pf_mf},,0,,BASE|TA_M,BASE|TA_M,BASE|TA_H,1,easy,"| = новая карточка; + = объединить в одну карточку; ∅ = меняется чтение, но японский символ не добавляется",dynamic_stem_same_verb + universal_same_family,行|tta,行|tta,行|tta,plain_past,plain_past|прошлое,plain_past,plain_past,Прошедшая · 〜た,BASE + TA_H,BASE|TA_H,,0,,0,0,1
te_form,て-форма,основные,te_форма,identity,,утвердительная,—,простая,действительный,,стандартная,1,Соединительная форма; служит базой для многих конструкций.,食べて,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,и / затем,,context,ru_gerund_pf,"{ru_gerund_pf}, …",,1,て-форма не имеет одного универсального русского эквивалента; деепричастие — только удобная подсказка.,BASE|TE_M,BASE|TE_M,BASE|TE_H,1,easy,"| = новая карточка; + = объединить в одну карточку; ∅ = меняется чтение, но японский символ не добавляется",dynamic_stem_same_verb + universal_same_family,行|tte,行|tte,行|tte,te_connector,te_connector|и / затем,te_form,te_form,て-форма · 〜て,BASE + TE_H,BASE|TE_H,,0,,0,0,1
nai_form,Простая отрицательная непрошедшая (ない-форма),отрицательные,nai_форма,identity,,отрицательная,непрошедшее,простая,действительный,,стандартная,1,,食べない,1,0,optional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,не,не|буду,natural,ru_present_1sg,не {ru_present_1sg},не {ru_future_1sg},0,,NEGBASE|NAI_LINK+NAI,NEGBASE|NAI_LINK|NAI,NEGBASE|NAI_LINK|NAI,1,medium,"| = новая карточка; + = объединить в одну карточку; ∅ = меняется чтение, но японский символ не добавляется",dynamic_stem_same_verb + universal_same_family,行|kanai,行|ka|nai,行|ka|nai,negative_nonpast,negative_nonpast|не,nai_form,nai_form,Отрицание · 〜ない,NEGBASE + NAI_LINK + NAI,NEGBASE|NAI_LINK|NAI,,0,,0,0,1
plain_negative_past,Простая отрицательная прошедшая,отрицательные,nai_форма,replace_suffix,ない→なかった,отрицательная,прошедшее,простая,действительный,,стандартная,1,,食べなかった,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,не|прошлое,,natural,ru_past_pf_mf,не {ru_past_pf_mf},,0,,NEGBASE|NAI_LINK+NAKATTA,NEGBASE|NAI_LINK|NAKATTA,NEGBASE|NAI_LINK|NAKATTA,2,medium,"| = новая карточка; + = объединить в одну карточку; ∅ = меняется чтение, но японский символ не добавляется",dynamic_stem_same_verb + universal_same_family,行|kanakatta,行|ka|nakatta,行|ka|nakatta,negative_past,negative_past|не|прошлое,plain_negative_past,plain_negative_past,Отрицательная прошедшая · 〜なかった,NEGBASE + NAI_LINK + NAKATTA,NEGBASE|NAI_LINK|NAKATTA,,0,,0,0,1
negative_te,Отрицательная て-форма (〜なくて),отрицательные,nai_форма,replace_suffix,ない→なくて,отрицательная,—,простая,действительный,,стандартная,1,,食べなくて,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,не|и / затем,,context,ru_gerund_pf,"не {ru_gerund_pf}, …",,1,,NEGBASE|NAI_LINK+NAKUTE,NEGBASE|NAI_LINK|NAKUTE,NEGBASE|NAI_LINK|NAKUTE,2,medium,"| = новая карточка; + = объединить в одну карточку; ∅ = меняется чтение, но японский символ не добавляется",dynamic_stem_same_verb + universal_same_family,行|kanakute,行|ka|nakute,行|ka|nakute,negative_te_connector,negative_te_connector|не|и / затем,negative_te,negative_te,Отрицательная て-форма · 〜なくて,NEGBASE + NAI_LINK + NAKUTE,NEGBASE|NAI_LINK|NAKUTE,,0,,0,0,1
ba_conditional,Условная форма 〜ば,условные,условная_ba,identity,,утвердительная,—,простая,действительный,,стандартная,1,,食べれば,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,если,,natural,ru_conditional_pf_1sg,если {ru_conditional_pf_1sg},,0,,BASE|BA_M+BA,BASE|BA_M|BA,BASE|BA_H|BA,2,medium,"| = новая карточка; + = объединить в одну карточку; ∅ = меняется чтение, но японский символ не добавляется",dynamic_stem_same_verb + universal_same_family,行|keba,行|ke|ba,行|ke|ba,conditional_affirmative,conditional|affirmative|plain,ba_conditional,ba_conditional,Условная · 〜ば,BASE + BA_H + BA,BASE|BA_H|BA,tara_conditional,0,Mode B трактует 〜ば и 〜たら как допустимые широкие варианты «если». Нюансы между конструкциями не проверяются; для их тренировки использовать Mode A.,0,1,1
tara_conditional,Условная форма 〜たら,условные,условная_tara,identity,,утвердительная,—,простая,действительный,,стандартная,1,,食べたら,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,если,,natural,ru_conditional_pf_1sg,если {ru_conditional_pf_1sg},,0,,BASE|TA_M+RA,BASE|TA_M|RA,BASE|TA_H|RA,2,medium,"| = новая карточка; + = объединить в одну карточку; ∅ = меняется чтение, но японский символ не добавляется",dynamic_stem_same_verb + universal_same_family,行|ttara,行|tta|ra,行|tta|ra,conditional_affirmative,conditional|affirmative|plain,tara_conditional,tara_conditional,Условная · 〜たら,BASE + TA_H + RA,BASE|TA_H|RA,ba_conditional,0,Mode B трактует 〜ば и 〜たら как допустимые широкие варианты «если». Нюансы между конструкциями не проверяются; для их тренировки использовать Mode A.,0,1,1
negative_ba,Отрицательная условная 〜なければ,условные,nakereba,identity,,отрицательная,—,простая,действительный,,стандартная,1,,食べなければ,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,если|не,,natural,ru_conditional_pf_1sg,если не {ru_conditional_pf_1sg},,0,,NEGBASE|NAI_LINK+NAKEREBA,NEGBASE|NAI_LINK|NAKEREBA,NEGBASE|NAI_LINK|NAKEREBA,2,medium,"| = новая карточка; + = объединить в одну карточку; ∅ = меняется чтение, но японский символ не добавляется",dynamic_stem_same_verb + universal_same_family,行|kanakereba,行|ka|nakereba,行|ka|nakereba,conditional_negative,conditional|negative|plain,negative_ba,negative_ba,Отрицательная условная · 〜なければ,NEGBASE + NAI_LINK + NAKEREBA,NEGBASE|NAI_LINK|NAKEREBA,negative_tara|nakereba|nakya,0,В meaning-only режиме принимаются основные варианты «если не». negative_ba и nakereba дают один и тот же паттерн 〜なければ; 〜たら и 〜なきゃ имеют свои нюансы.,0,1,1
negative_tara,Отрицательная условная 〜なかったら,условные,nai_форма,replace_suffix,ない→なかったら,отрицательная,—,простая,действительный,,стандартная,1,,食べなかったら,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,если|не,,natural,ru_conditional_pf_1sg,если не {ru_conditional_pf_1sg},,0,,NEGBASE|NAI_LINK+NAKATTA+RA,NEGBASE|NAI_LINK|NAKATTA+RA,NEGBASE|NAI_LINK|NAKATTA|RA,3,hard,"| = новая карточка; + = объединить в одну карточку; ∅ = меняется чтение, но японский символ не добавляется",dynamic_stem_same_verb + universal_same_family,行|kanakattara,行|ka|nakattara,行|ka|nakatta|ra,conditional_negative,conditional|negative|plain,negative_tara,negative_tara,Отрицательная условная · 〜なかったら,NEGBASE + NAI_LINK + NAKATTA + RA,NEGBASE|NAI_LINK|NAKATTA|RA,negative_ba|nakereba|nakya,0,В meaning-only режиме принимаются основные варианты «если не». Для точной тренировки 〜たら/〜ば использовать Mode A.,0,1,1
