verb_id,словарная_форма,чтение,romaji,значение_ru,jlpt,тип_глагола,основа_romaji,masu_основа,простая_прошедшая,te_форма,nai_форма,условная_ba,условная_tara,потенциальная_словарная,потенциальная_разг_без_ra,страдательная_словарная,побудительная_словарная,побудительно_страдательная_словарная,повелительная,запретительная,волевая,tai_база,nakereba,nakya,nakucha,ru_inf_ipf,ru_inf_pf,ru_present_1sg,ru_future_1sg,ru_past_ipf_mf,ru_past_pf_mf,ru_future_pf_1sg,ru_conditional_pf_1sg,ru_gerund_pf,ru_imperative_2sg,ru_1pl_pf,ru_passive_hint,ru_causative_hint,ru_causative_passive_hint,chunk_base_jp,chunk_neg_base_jp,chunk_dict_medium_jp,chunk_dict_medium_label,chunk_dict_hard_jp,chunk_dict_hard_label,chunk_masu_link_jp,chunk_masu_link_label,chunk_nai_link_jp,chunk_nai_link_label,chunk_ba_link_medium_jp,chunk_ba_link_medium_label,chunk_ba_link_hard_jp,chunk_ba_link_hard_label,chunk_te_medium_jp,chunk_te_medium_label,chunk_te_hard_jp,chunk_te_hard_label,chunk_ta_medium_jp,chunk_ta_medium_label,chunk_ta_hard_jp,chunk_ta_hard_label,chunk_potential_medium_jp,chunk_potential_medium_label,chunk_potential_hard_jp,chunk_potential_hard_label,chunk_passive_medium_jp,chunk_passive_medium_label,chunk_passive_hard_jp,chunk_passive_hard_label,chunk_causative_medium_jp,chunk_causative_medium_label,chunk_causative_hard_jp,chunk_causative_hard_label,chunk_causative_passive_medium_jp,chunk_causative_passive_medium_label,chunk_causative_passive_hard_jp,chunk_causative_passive_hard_label,chunk_imperative_medium_jp,chunk_imperative_medium_label,chunk_imperative_hard_jp,chunk_imperative_hard_label,chunk_volitional_medium_jp,chunk_volitional_medium_label,chunk_volitional_hard_jp,chunk_volitional_hard_label,chunk_stem_distractors_label,chunk_ranuki_medium_jp,chunk_ranuki_medium_label,chunk_ranuki_hard_jp,chunk_ranuki_hard_label
au,会う,あう,au,"встречаться, встречать",N5,godan-u,a,会い,会った,会って,会わない,会えば,会ったら,会える,,会われる,会わせる,会わせられる,会え,会うな,会おう,会いたい,会わなければ,会わなきゃ,会わなくちゃ,встречаться,встретиться,встречаюсь,буду встречаться,встречался(ась),встретился(ась),встречусь,встречусь,встретившись,встреться,встретимся,быть подвергнутым действию «встречаться»,заставить / разрешить: встретиться,быть вынужденным: встретиться,会,会,う,u,う,u,い,i,わ,wa,え,e,え,e,って,tte,って,tte,った,tta,った,tta,え,e,え,e,われ,ware,わ|れ,wa|re,わせ,wase,わ|せ,wa|se,わせられ,waserare,わ|せ|ら|れ,wa|se|ra|re,え,e,え,e,おう,ou,お|う,o|u,wa|i|e|o,,,,
aku,開く,あく,aku,открываться,N5,godan-ku,ak,開き,開いた,開いて,開かない,開けば,開いたら,開ける,,開かれる,開かせる,開かせられる,開け,開くな,開こう,開きたい,開かなければ,開かなきゃ,開かなくちゃ,открываться,открыться,открывается,буду открываться,открывалось,открылось,откроется,откроется,открывшись,откройся,откроемся,пассив: действие «открываться» направлено на субъект,заставить / разрешить: открыться,быть вынужденным: открыться,開,開,く,ku,く,ku,き,ki,か,ka,け,ke,け,ke,いて,ite,いて,ite,いた,ita,いた,ita,け,ke,け,ke,かれ,kare,か|れ,ka|re,かせ,kase,か|せ,ka|se,かせられ,kaserare,か|せ|ら|れ,ka|se|ra|re,け,ke,け,ke,こう,kou,こ|う,ko|u,ka|ki|ke|ko,,,,
akeru,開ける,あける,akeru,открывать,N5,ichidan,ake,開け,開けた,開けて,開けない,開ければ,開けたら,開けられる,開けれる,開けられる,開けさせる,開けさせられる,開けろ,開けるな,開けよう,開けたい,開けなければ,開けなきゃ,開けなくちゃ,открывать,открыть,открываю,буду открывать,открывал(а),открыл(а),открою,открою,открыв,открой,откроем,быть подвергнутым действию «открывать»,заставить / разрешить: открыть,быть вынужденным: открыть,開け,開け,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re
ageru,上げる,あげる,ageru,поднимать,N5,ichidan,age,上げ,上げた,上げて,上げない,上げれば,上げたら,上げられる,上げれる,上げられる,上げさせる,上げさせられる,上げろ,上げるな,上げよう,上げたい,上げなければ,上げなきゃ,上げなくちゃ,поднимать,поднять,поднимаю,буду поднимать,поднимал(а),поднял(а),подниму,подниму,подняв,подними,поднимем,пассив: действие «поднимать» направлено на субъект,заставить / разрешить: поднять,быть вынужденным: поднять,上げ,上げ,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re
asobu,遊ぶ,あそぶ,asobu,"играть, развлекаться",N5,godan-bu,asob,遊び,遊んだ,遊んで,遊ばない,遊べば,遊んだら,遊べる,,遊ばれる,遊ばせる,遊ばせられる,遊べ,遊ぶな,遊ぼう,遊びたい,遊ばなければ,遊ばなきゃ,遊ばなくちゃ,играть / развлекаться,поиграть / развлечься,играю / развлекаюсь,буду играть / развлекаться,играл(а) / развлекался(ась),поиграл(а) / развлёкся(лась),поиграю / развлекусь,поиграю / развлекусь,поиграв / развлёкшись,играй,поиграем,быть подвергнутым действию «играть / развлекаться»,заставить / разрешить: поиграть / развлечься,быть вынужденным: поиграть / развлечься,遊,遊,ぶ,bu,ぶ,bu,び,bi,ば,ba,べ,be,べ,be,んで,nで,んで,nで,んだ,nだ,んだ,nだ,べ,be,べ,be,ばれ,bare,ば|れ,ba|re,ばせ,base,ば|せ,ba|se,ばせられ,baserare,ば|せ|ら|れ,ba|se|ra|re,べ,be,べ,be,ぼう,bou,ぼ|う,bo|u,ba|bi|be|bo,,,,
abiru,浴びる,あびる,abiru,принимать душ,N5,ichidan,abi,浴び,浴びた,浴びて,浴びない,浴びれば,浴びたら,浴びられる,浴びれる,浴びられる,浴びさせる,浴びさせられる,浴びろ,浴びるな,浴びよう,浴びたい,浴びなければ,浴びなきゃ,浴びなくちゃ,принимать душ,принять душ,принимаю душ,буду принимать душ,принимал(а) душ,принял(а) душ,приму душ,приму душ,приняв душ,прими душ,примем душ,пассив: действие «принимать душ» направлено на субъект,заставить / разрешить: принять душ,быть вынужденным: принять душ,浴び,浴び,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re
arau,洗う,あらう,arau,мыть,N5,godan-u,ara,洗い,洗った,洗って,洗わない,洗えば,洗ったら,洗える,,洗われる,洗わせる,洗わせられる,洗え,洗うな,洗おう,洗いたい,洗わなければ,洗わなきゃ,洗わなくちゃ,мыть,помыть,мою,буду мыть,мыл(а),помыл(а),помою,помою,помыв,мой,помоем,быть подвергнутым действию «мыть»,заставить / разрешить: помыть,быть вынужденным: помыть,洗,洗,う,u,う,u,い,i,わ,wa,え,e,え,e,って,tte,って,tte,った,tta,った,tta,え,e,え,e,われ,ware,わ|れ,wa|re,わせ,wase,わ|せ,wa|se,わせられ,waserare,わ|せ|ら|れ,wa|se|ra|re,え,e,え,e,おう,ou,お|う,o|u,wa|i|e|o,,,,
aru,ある,ある,aru,быть; иметься,N5,aru,a,あり,あった,あって,ない,あれば,あったら,,,,,,あれ,あるな,あろう,ありたい,なければ,なきゃ,なくちゃ,быть,побыть,есть,буду быть,был(а),побывал(а),будет,будет,побыв,будь,побудем,пассив: действие «быть» направлено на субъект,заставить / разрешить: побыть,быть вынужденным: побыть,あ,,る,ru,る,ru,り,ri,,,れ,re,れ,re,って,tte,って,tte,った,tta,った,tta,,,,,,,,,,,,,,,,,れ,re,れ,re,ろう,rou,ろ|う,ro|u,ri|re|ro,,,,
aruku,歩く,あるく,aruku,ходить пешком,N5,godan-ku,aruk,歩き,歩いた,歩いて,歩かない,歩けば,歩いたら,歩ける,,歩かれる,歩かせる,歩かせられる,歩け,歩くな,歩こう,歩きたい,歩かなければ,歩かなきゃ,歩かなくちゃ,ходить,пройтись,хожу,буду ходить,ходил(а),прошёлся / прошлась,пройдусь,пройдусь,пройдясь,иди пешком,пройдёмся,быть подвергнутым действию «ходить»,заставить / разрешить: пройтись,быть вынужденным: пройтись,歩,歩,く,ku,く,ku,き,ki,か,ka,け,ke,け,ke,いて,ite,いて,ite,いた,ita,いた,ita,け,ke,け,ke,かれ,kare,か|れ,ka|re,かせ,kase,か|せ,ka|se,かせられ,kaserare,か|せ|ら|れ,ka|se|ra|re,け,ke,け,ke,こう,kou,こ|う,ko|u,ka|ki|ke|ko,,,,
iu,言う,いう,iu,говорить; сказать,N5,godan-u,i,言い,言った,言って,言わない,言えば,言ったら,言える,,言われる,言わせる,言わせられる,言え,言うな,言おう,言いたい,言わなければ,言わなきゃ,言わなくちゃ,говорить,сказать,говорю,буду говорить,говорил(а),сказал(а),скажу,скажу,сказав,скажи,скажем,пассив: действие «говорить» направлено на субъект,заставить / разрешить: сказать,быть вынужденным: сказать,言,言,う,u,う,u,い,i,わ,wa,え,e,え,e,って,tte,って,tte,った,tta,った,tta,え,e,え,e,われ,ware,わ|れ,wa|re,わせ,wase,わ|せ,wa|se,わせられ,waserare,わ|せ|ら|れ,wa|se|ra|re,え,e,え,e,おう,ou,お|う,o|u,wa|i|e|o,,,,
